expense_id,amount,merchant,description,category
SEED0,2713.64,Swiggy,bought groceries at dmart,Food & Dining
SEED1,1664.92,Metro,uber ride to office,Transport
SEED2,3718.48,Mall,clothes from zara,Shopping
SEED3,3170.99,Electricity Board,electricity bill payment bescom,Utilities
SEED4,1542.51,Apollo,doctor consultation fee,Health
SEED5,877.49,PVR,movie tickets pvr inox,Entertainment
SEED6,3596.62,Udemy,udemy course online learning,Education
SEED7,735.48,OYO,hotel booking oyo makemytrip,Travel
SEED8,4382.71,Nykaa,face wash cetaphil,Personal Care
SEED9,585.27,Reliance Digital,laptop purchase dell hp,Electronics
SEED10,1363.55,ATM,miscellaneous expense,Other
SYN0,7749.67,Jio,wifi bill,Utilities
SYN1,1830.85,Bank,bank charges,Other
SYN2,7846.59,Mall,payment,Shopping
SYN3,5529.58,MedPlus,pharmacy,Health
SYN4,7158.49,ATM,bank charges,Other
SYN5,8158.49,Reliance Digital,payment,Electronics
SYN6,8567.19,College,books purchase,Education
SYN7,5231.89,PVR,spotify premium,Entertainment
SYN8,2107.34,Bank,bank charges,Other
SYN9,5698.91,Apollo,pharmacy,Health
SYN10,760.64,Croma,laptop repair,Electronics
SYN11,5820.43,Udemy,payment,Education
SYN12,3243.23,Mall,clothes shopping,Shopping
SYN13,7701.96,ATM,cash withdrawal,Other
SYN14,1592.75,Nykaa,salon visit,Personal Care
SYN15,5189.67,Airtel,payment,Utilities
SYN16,1954.2,Apollo,pharmacy,Health
SYN17,3575.58,Zomato,payment,Food & Dining
SYN18,5618.14,Bank,payment,Other
SYN19,6309.3,OYO,hotel stay,Travel
SYN20,3993.27,Amazon,amazon purchase,Shopping
SYN21,458.29,IRCTC,hotel stay,Travel
SYN22,7594.8,MedPlus,pharmacy,Health
SYN23,1384.12,OYO,train ticket,Travel
SYN24,7421.93,Apollo,payment,Health
SYN25,9584.0,OYO,trip package,Travel
SYN26,7273.54,Croma,charger buy,Electronics
SYN27,2563.12,Amazon,flipkart order,Shopping
SYN28,581.32,OYO,train ticket,Travel
SYN29,4839.85,Jio,gas bill,Utilities
SYN30,584.7,Mall,clothes shopping,Shopping
SYN31,155.01,College,books purchase,Education
SYN32,7162.47,Swiggy,zomato order,Food & Dining
SYN33,9669.47,Jio,gas bill,Utilities
SYN34,236.33,Bank,bank charges,Other
SYN35,803.36,IRCTC,hotel stay,Travel
SYN36,1413.57,Salon,shampoo purchase,Personal Care
SYN37,5652.54,College,payment,Education
SYN38,3471.58,Zomato,zomato order,Food & Dining
SYN39,8055.43,MedPlus,doctor visit,Health
SYN40,5195.21,Bank,bank charges,Other
SYN41,9823.4,Croma,payment,Electronics
SYN42,636.23,Uber,ola cab,Transport
SYN43,7055.09,Reliance Digital,phone purchase,Electronics
SYN44,8539.24,Udemy,books purchase,Education
SYN45,2186.16,Reliance Digital,phone purchase,Electronics
SYN46,3084.84,Reliance Digital,payment,Electronics
SYN47,2460.7,Apollo,pharmacy,Health
SYN48,8447.67,College,course fee,Education
SYN49,5507.65,Croma,charger buy,Electronics
SYN50,1352.27,MedPlus,hospital bill,Health
SYN51,4078.61,Udemy,course fee,Education
SYN52,3311.57,College,tuition fee,Education
SYN53,3670.95,Uber,payment,Transport
SYN54,784.86,Apollo,medicine purchase,Health
SYN55,9013.06,College,course fee,Education
SYN56,5328.31,Swiggy,swiggy delivery,Food & Dining
SYN57,1942.95,Bank,cash withdrawal,Other
SYN58,8978.55,Ola,petrol refill,Transport
SYN59,8061.72,MedPlus,payment,Health
SYN60,2291.56,College,course fee,Education
SYN61,1054.88,Flipkart,amazon purchase,Shopping
SYN62,1284.73,Ola,metro recharge,Transport
SYN63,5757.97,Croma,laptop repair,Electronics
SYN64,2849.63,Mall,amazon purchase,Shopping
SYN65,7939.56,Swiggy,swiggy delivery,Food & Dining
SYN66,3510.3,Flipkart,flipkart order,Shopping
SYN67,897.19,Amazon,amazon purchase,Shopping
SYN68,5006.42,Local Hotel,zomato order,Food & Dining
SYN69,7450.03,Salon,shampoo purchase,Personal Care
SYN70,5825.84,Metro,metro recharge,Transport
SYN71,1765.0,Mall,payment,Shopping
SYN72,9482.3,Apollo,pharmacy,Health
SYN73,5464.95,Local Hotel,zomato order,Food & Dining
SYN74,6691.48,ATM,bank charges,Other
SYN75,4672.11,OYO,hotel stay,Travel
SYN76,7971.48,College,books purchase,Education
SYN77,1794.5,Nykaa,salon visit,Personal Care
SYN78,6478.93,ATM,cash withdrawal,Other
SYN79,3459.57,Amazon,amazon purchase,Shopping
SYN80,2649.82,Flipkart,flipkart order,Shopping
SYN81,6366.71,PVR,movie ticket,Entertainment
SYN82,5750.25,Jio,mobile recharge,Utilities
SYN83,5558.79,Apollo,pharmacy,Health
SYN84,8035.79,Airtel,wifi bill,Utilities
SYN85,5555.94,Nykaa,salon visit,Personal Care
SYN86,997.78,Salon,shampoo purchase,Personal Care
SYN87,4204.82,Amazon,flipkart order,Shopping
SYN88,2089.42,Local Hotel,payment,Food & Dining
SYN89,4535.91,Mall,mall shopping,Shopping
SYN90,127.42,ATM,cash withdrawal,Other
SYN91,6570.13,Reliance Digital,charger buy,Electronics
SYN92,2544.67,IRCTC,trip package,Travel
SYN93,1324.32,IRCTC,hotel stay,Travel
SYN94,3300.71,Apollo,doctor visit,Health
SYN95,3973.81,MedPlus,pharmacy,Health
SYN96,4698.21,Salon,skincare products,Personal Care
SYN97,8728.65,Ola,petrol refill,Transport
SYN98,381.81,Reliance Digital,laptop repair,Electronics
SYN99,9846.08,Swiggy,biryani order,Food & Dining
SYN100,2135.86,Mall,payment,Shopping
SYN101,4266.91,Salon,salon visit,Personal Care
SYN102,4135.99,IRCTC,flight booking,Travel
SYN103,9731.86,OYO,hotel stay,Travel
SYN104,1590.87,Nykaa,skincare products,Personal Care
SYN105,8128.12,Jio,mobile recharge,Utilities
SYN106,8946.11,Apollo,payment,Health
SYN107,792.39,PVR,payment,Entertainment
SYN108,5439.16,OYO,trip package,Travel
SYN109,3999.27,MedPlus,pharmacy,Health
SYN110,5704.44,Apollo,medicine purchase,Health
SYN111,7735.23,Reliance Digital,payment,Electronics
SYN112,4391.74,Mall,mall shopping,Shopping
SYN113,7854.51,Metro,ola cab,Transport
SYN114,4361.84,Jio,wifi bill,Utilities
SYN115,751.54,Metro,payment,Transport
SYN116,4048.93,Udemy,course fee,Education
SYN117,5027.58,MedPlus,doctor visit,Health
SYN118,6258.89,Bank,bank charges,Other
SYN119,5142.48,Zomato,zomato order,Food & Dining
SYN120,7221.82,Netflix,payment,Entertainment
SYN121,6420.29,Nykaa,salon visit,Personal Care
SYN122,2029.71,PVR,netflix subscription,Entertainment
SYN123,9222.11,Flipkart,payment,Shopping
SYN124,5781.63,Swiggy,payment,Food & Dining
SYN125,3713.97,Bank,misc expense,Other
SYN126,8799.72,Electricity Board,wifi bill,Utilities
SYN127,5664.75,Nykaa,skincare products,Personal Care
SYN128,95.88,Bank,cash withdrawal,Other
SYN129,1131.8,Ola,ola cab,Transport
SYN130,3331.55,College,payment,Education
SYN131,3202.02,Apollo,hospital bill,Health
SYN132,3300.07,Bank,bank charges,Other
SYN133,9826.96,Amazon,flipkart order,Shopping
SYN134,3560.17,OYO,trip package,Travel
SYN135,1881.71,College,payment,Education
SYN136,8942.95,Apollo,doctor visit,Health
SYN137,6272.93,ATM,bank charges,Other
SYN138,6274.37,PVR,netflix subscription,Entertainment
SYN139,9344.37,PVR,netflix subscription,Entertainment
SYN140,1598.81,Salon,skincare products,Personal Care
SYN141,9753.29,Reliance Digital,charger buy,Electronics
SYN142,3438.08,Zomato,biryani order,Food & Dining
SYN143,8182.07,Nykaa,salon visit,Personal Care
SYN144,3539.16,Croma,phone purchase,Electronics
SYN145,9123.21,Apollo,doctor visit,Health
SYN146,8869.27,Netflix,spotify premium,Entertainment
SYN147,8329.06,Zomato,zomato order,Food & Dining
SYN148,2252.0,Zomato,biryani order,Food & Dining
SYN149,6096.63,Zomato,zomato order,Food & Dining
SYN150,280.22,Udemy,exam fee,Education
SYN151,6537.75,Netflix,netflix subscription,Entertainment
SYN152,714.92,Croma,laptop repair,Electronics
SYN153,2329.61,IRCTC,hotel stay,Travel
SYN154,624.96,PVR,payment,Entertainment
SYN155,5426.33,Reliance Digital,laptop repair,Electronics
SYN156,6838.79,College,course fee,Education
SYN157,3872.05,Salon,shampoo purchase,Personal Care
SYN158,1689.85,Swiggy,dosa breakfast,Food & Dining
SYN159,4603.76,Mall,clothes shopping,Shopping
SYN160,4981.4,Uber,ola cab,Transport
SYN161,9110.95,Amazon,amazon purchase,Shopping
SYN162,4215.6,Airtel,payment,Utilities
SYN163,7773.42,Swiggy,payment,Food & Dining
SYN164,5118.05,Netflix,netflix subscription,Entertainment
SYN165,8026.28,Amazon,payment,Shopping
SYN166,2995.81,ATM,payment,Other
SYN167,2833.49,Mall,clothes shopping,Shopping
SYN168,7264.93,Flipkart,payment,Shopping
SYN169,3630.45,Udemy,course fee,Education
SYN170,4495.23,Croma,charger buy,Electronics
SYN171,3998.32,Zomato,dosa breakfast,Food & Dining
SYN172,79.1,Uber,metro recharge,Transport
SYN173,526.44,Apollo,payment,Health
SYN174,1022.34,Jio,mobile recharge,Utilities
SYN175,355.88,Metro,uber ride,Transport
SYN176,9068.55,IRCTC,hotel stay,Travel
SYN177,3983.29,Uber,petrol refill,Transport
SYN178,6708.05,College,exam fee,Education
SYN179,1404.29,ATM,cash withdrawal,Other
SYN180,3934.68,Uber,payment,Transport
SYN181,2429.95,Amazon,clothes shopping,Shopping
SYN182,3009.98,Salon,skincare products,Personal Care
SYN183,116.83,Bank,cash withdrawal,Other
SYN184,7410.8,Apollo,hospital bill,Health
SYN185,9207.6,Mall,amazon purchase,Shopping
SYN186,593.96,PVR,movie ticket,Entertainment
SYN187,6120.46,Salon,skincare products,Personal Care
SYN188,7402.03,Metro,uber ride,Transport
SYN189,8232.44,Nykaa,payment,Personal Care
SYN190,826.6,Zomato,swiggy delivery,Food & Dining
SYN191,4058.92,OYO,hotel stay,Travel
SYN192,5233.32,Mall,amazon purchase,Shopping
SYN193,9406.76,Swiggy,payment,Food & Dining
SYN194,6788.68,Apollo,medicine purchase,Health
SYN195,6579.4,Reliance Digital,laptop repair,Electronics
SYN196,3321.52,Salon,salon visit,Personal Care
SYN197,8500.28,Apollo,doctor visit,Health
SYN198,8944.23,Flipkart,payment,Shopping
SYN199,4028.7,Electricity Board,wifi bill,Utilities
SYN200,5711.07,Reliance Digital,payment,Electronics
SYN201,2473.18,Salon,skincare products,Personal Care
SYN202,7140.86,Swiggy,swiggy delivery,Food & Dining
SYN203,9135.87,IRCTC,trip package,Travel
SYN204,6448.64,Reliance Digital,charger buy,Electronics
SYN205,9169.42,IRCTC,trip package,Travel
SYN206,8616.91,IRCTC,train ticket,Travel
SYN207,1186.64,IRCTC,hotel stay,Travel
SYN208,1167.75,Electricity Board,mobile recharge,Utilities
SYN209,5007.9,Amazon,amazon purchase,Shopping
SYN210,5660.73,Electricity Board,mobile recharge,Utilities
SYN211,3327.09,Electricity Board,wifi bill,Utilities
SYN212,3541.54,PVR,payment,Entertainment
SYN213,738.89,Mall,mall shopping,Shopping
SYN214,2905.57,College,books purchase,Education
SYN215,8221.07,Mall,amazon purchase,Shopping
SYN216,7516.47,Jio,mobile recharge,Utilities
SYN217,6542.36,Mall,amazon purchase,Shopping
SYN218,7813.5,ATM,misc expense,Other
SYN219,150.73,Ola,payment,Transport
SYN220,4569.77,Local Hotel,zomato order,Food & Dining
SYN221,2313.34,Netflix,movie ticket,Entertainment
SYN222,4845.98,Uber,metro recharge,Transport
SYN223,3529.6,Flipkart,mall shopping,Shopping
SYN224,6640.57,Salon,shampoo purchase,Personal Care
SYN225,4192.57,Bank,bank charges,Other
SYN226,9427.87,Zomato,dosa breakfast,Food & Dining
SYN227,428.51,Nykaa,skincare products,Personal Care
SYN228,1707.77,OYO,flight booking,Travel
SYN229,9541.16,Jio,mobile recharge,Utilities
SYN230,4942.64,IRCTC,trip package,Travel
SYN231,5759.76,OYO,flight booking,Travel
SYN232,5030.22,Uber,petrol refill,Transport
SYN233,2679.85,Bank,cash withdrawal,Other
SYN234,1699.54,OYO,train ticket,Travel
SYN235,4837.41,Flipkart,clothes shopping,Shopping
SYN236,3339.92,Ola,ola cab,Transport
SYN237,2602.55,Jio,payment,Utilities
SYN238,1650.4,MedPlus,payment,Health
SYN239,2032.61,OYO,hotel stay,Travel
SYN240,1094.49,Amazon,payment,Shopping
SYN241,9843.61,PVR,movie ticket,Entertainment
SYN242,4713.49,Electricity Board,electricity bill,Utilities
SYN243,1218.45,Nykaa,salon visit,Personal Care
SYN244,2927.92,Nykaa,payment,Personal Care
SYN245,1858.59,Croma,charger buy,Electronics
SYN246,8705.44,Metro,petrol refill,Transport
SYN247,3598.69,Metro,petrol refill,Transport
SYN248,4196.66,Udemy,payment,Education
SYN249,343.56,Local Hotel,dosa breakfast,Food & Dining
SYN250,6556.91,Bank,bank charges,Other
SYN251,2381.56,Nykaa,payment,Personal Care
SYN252,5085.67,Electricity Board,payment,Utilities
SYN253,8396.1,Metro,petrol refill,Transport
SYN254,6480.22,Jio,gas bill,Utilities
SYN255,6703.92,IRCTC,flight booking,Travel
SYN256,9069.35,Swiggy,zomato order,Food & Dining
SYN257,1913.64,Reliance Digital,charger buy,Electronics
SYN258,5522.15,Airtel,mobile recharge,Utilities
SYN259,9788.02,Salon,skincare products,Personal Care
SYN260,5979.34,Salon,skincare products,Personal Care
SYN261,2942.0,Nykaa,skincare products,Personal Care
SYN262,8274.23,PVR,movie ticket,Entertainment
SYN263,7696.04,Mall,amazon purchase,Shopping
SYN264,3022.69,Airtel,payment,Utilities
SYN265,9582.04,Apollo,hospital bill,Health
SYN266,1414.17,Nykaa,payment,Personal Care
SYN267,314.52,Metro,payment,Transport
SYN268,6418.48,College,course fee,Education
SYN269,1173.01,OYO,trip package,Travel
SYN270,8038.79,Croma,charger buy,Electronics
SYN271,8430.26,Salon,payment,Personal Care
SYN272,1424.98,Udemy,course fee,Education
SYN273,5155.58,Zomato,biryani order,Food & Dining
SYN274,8604.03,Amazon,flipkart order,Shopping
SYN275,5805.37,Metro,metro recharge,Transport
SYN276,1065.57,MedPlus,pharmacy,Health
SYN277,9552.11,PVR,payment,Entertainment
SYN278,6255.15,Apollo,payment,Health
SYN279,6186.95,Jio,electricity bill,Utilities
SYN280,3987.18,Udemy,exam fee,Education
SYN281,3214.95,College,tuition fee,Education
SYN282,906.76,Local Hotel,zomato order,Food & Dining
SYN283,2914.56,Amazon,mall shopping,Shopping
SYN284,6632.75,College,payment,Education
SYN285,2678.66,PVR,movie ticket,Entertainment
SYN286,2528.58,Airtel,gas bill,Utilities
SYN287,5100.13,Apollo,hospital bill,Health
SYN288,9988.15,Salon,payment,Personal Care
SYN289,5970.43,OYO,train ticket,Travel
SYN290,8920.62,Jio,electricity bill,Utilities
SYN291,3601.78,Nykaa,shampoo purchase,Personal Care
SYN292,5308.93,Udemy,course fee,Education
SYN293,7304.95,Uber,payment,Transport
SYN294,1161.4,Udemy,course fee,Education
SYN295,2056.48,Salon,skincare products,Personal Care
SYN296,2271.55,PVR,payment,Entertainment
SYN297,341.41,Flipkart,mall shopping,Shopping
SYN298,8947.26,MedPlus,pharmacy,Health
SYN299,4007.84,Mall,flipkart order,Shopping
SYN300,8115.02,Airtel,mobile recharge,Utilities
SYN301,4392.63,Bank,payment,Other
SYN302,9646.12,Apollo,hospital bill,Health
SYN303,1291.76,Salon,skincare products,Personal Care
SYN304,9446.99,Reliance Digital,laptop repair,Electronics
SYN305,8202.86,Udemy,exam fee,Education
SYN306,6760.46,Zomato,swiggy delivery,Food & Dining
SYN307,5315.73,Zomato,swiggy delivery,Food & Dining
SYN308,9225.18,Croma,phone purchase,Electronics
SYN309,1922.56,MedPlus,hospital bill,Health
SYN310,499.54,Mall,payment,Shopping
SYN311,2849.49,ATM,payment,Other
SYN312,241.41,Croma,charger buy,Electronics
SYN313,1892.0,ATM,bank charges,Other
SYN314,5077.61,Netflix,payment,Entertainment
SYN315,7647.36,Apollo,doctor visit,Health
SYN316,6874.45,IRCTC,train ticket,Travel
SYN317,3563.35,Local Hotel,dosa breakfast,Food & Dining
SYN318,555.97,MedPlus,hospital bill,Health
SYN319,4176.18,PVR,movie ticket,Entertainment
SYN320,7340.97,Jio,gas bill,Utilities
SYN321,2807.14,IRCTC,payment,Travel
SYN322,1527.98,Uber,metro recharge,Transport
SYN323,1725.41,Ola,ola cab,Transport
SYN324,7829.86,OYO,flight booking,Travel
SYN325,854.72,IRCTC,hotel stay,Travel
SYN326,8405.22,Reliance Digital,payment,Electronics
SYN327,5191.66,Reliance Digital,charger buy,Electronics
SYN328,6479.49,Uber,ola cab,Transport
SYN329,2276.21,Salon,payment,Personal Care
SYN330,6391.47,Udemy,exam fee,Education
SYN331,6534.77,Ola,metro recharge,Transport
SYN332,7835.18,Mall,mall shopping,Shopping
SYN333,3145.83,Jio,wifi bill,Utilities
SYN334,5799.7,Nykaa,salon visit,Personal Care
SYN335,6570.13,Uber,uber ride,Transport
SYN336,5861.71,Local Hotel,dosa breakfast,Food & Dining
SYN337,1173.24,ATM,cash withdrawal,Other
SYN338,1385.47,Mall,amazon purchase,Shopping
SYN339,5860.76,MedPlus,pharmacy,Health
SYN340,4314.32,Jio,payment,Utilities
SYN341,7661.49,Swiggy,biryani order,Food & Dining
SYN342,9115.13,Jio,payment,Utilities
SYN343,1959.67,ATM,cash withdrawal,Other
SYN344,4570.0,Netflix,movie ticket,Entertainment
SYN345,6951.61,Jio,wifi bill,Utilities
SYN346,3602.09,Salon,salon visit,Personal Care
SYN347,7756.27,Bank,bank charges,Other
SYN348,9951.98,Reliance Digital,payment,Electronics
SYN349,2665.21,Apollo,medicine purchase,Health
SYN350,1064.69,Reliance Digital,laptop repair,Electronics
SYN351,8401.82,Zomato,swiggy delivery,Food & Dining
SYN352,864.45,MedPlus,doctor visit,Health
SYN353,3059.42,Nykaa,shampoo purchase,Personal Care
SYN354,6075.78,PVR,movie ticket,Entertainment
SYN355,1342.97,Mall,mall shopping,Shopping
SYN356,8319.35,Apollo,pharmacy,Health
SYN357,8135.87,Jio,electricity bill,Utilities
SYN358,6094.6,Nykaa,skincare products,Personal Care
SYN359,3440.64,Reliance Digital,payment,Electronics
SYN360,1470.28,College,course fee,Education
SYN361,9409.54,Croma,payment,Electronics
SYN362,6380.9,College,tuition fee,Education
SYN363,658.1,Flipkart,amazon purchase,Shopping
SYN364,108.82,Apollo,doctor visit,Health
SYN365,4275.51,Netflix,spotify premium,Entertainment
SYN366,8845.09,PVR,payment,Entertainment
SYN367,7156.48,Netflix,movie ticket,Entertainment
SYN368,4442.55,College,payment,Education
SYN369,1024.61,Nykaa,skincare products,Personal Care
SYN370,2497.78,Salon,salon visit,Personal Care
SYN371,5924.38,Swiggy,biryani order,Food & Dining
SYN372,3421.04,MedPlus,hospital bill,Health
SYN373,5987.14,Uber,metro recharge,Transport
SYN374,3930.38,Croma,payment,Electronics
SYN375,3701.83,Airtel,gas bill,Utilities
SYN376,6889.71,Nykaa,shampoo purchase,Personal Care
SYN377,5467.17,OYO,trip package,Travel
SYN378,7772.26,Ola,ola cab,Transport
SYN379,6946.6,Zomato,biryani order,Food & Dining
SYN380,6951.82,Reliance Digital,charger buy,Electronics
SYN381,4025.81,OYO,train ticket,Travel
SYN382,1043.79,Metro,metro recharge,Transport
SYN383,9137.64,Swiggy,payment,Food & Dining
SYN384,6911.29,College,tuition fee,Education
SYN385,8810.19,MedPlus,doctor visit,Health
SYN386,6419.86,Apollo,payment,Health
SYN387,1366.7,Flipkart,flipkart order,Shopping
SYN388,5734.58,Reliance Digital,laptop repair,Electronics
SYN389,2301.06,College,payment,Education
SYN390,6128.44,Salon,payment,Personal Care
SYN391,1445.43,Zomato,zomato order,Food & Dining
SYN392,8512.75,OYO,trip package,Travel
SYN393,9142.04,Reliance Digital,phone purchase,Electronics
SYN394,4552.31,Nykaa,salon visit,Personal Care
